sample_id,molecule_h5
Prom1-DTA-IMM,/home/davids/data2/stephanie-ma/cd133-st/scrna-seq/cellranger_all/Prom1-DTA-IMM/count_Prom1-DTA-IMM/outs/molecule_info.h5
Prom1-WT-IMM,/home/davids/data2/stephanie-ma/cd133-st/scrna-seq/cellranger_all/Prom1-WT-IMM/count_Prom1-WT-IMM/outs/molecule_info.h5
